frame,t_s,in_count,out_count,tracks_in_frame
254,16.93,0,0,3
255,17.0,0,0,3
256,17.07,0,0,3
257,17.13,0,0,3
258,17.2,0,0,3
259,17.27,0,0,4
260,17.33,0,0,3
261,17.4,0,0,3
262,17.47,0,0,3
263,17.53,0,0,3
264,17.6,0,0,3
265,17.67,0,0,3
266,17.73,0,0,3
267,17.8,0,0,3
268,17.87,0,0,2
269,17.93,0,0,2
270,18.0,0,0,2
271,18.07,0,1,2
272,18.13,0,1,2
273,18.2,0,1,2
274,18.27,0,1,3
275,18.33,0,1,2
276,18.4,0,1,4
277,18.47,0,1,4
278,18.53,0,1,3
279,18.6,0,1,3
280,18.67,0,1,3
281,18.73,0,1,3
282,18.8,0,1,3
283,18.87,0,1,3
284,18.93,0,1,3
285,19.0,0,1,3
286,19.07,0,1,3
287,19.13,0,1,3
288,19.2,0,1,3
289,19.27,0,1,3
290,19.33,0,1,3
291,19.4,0,1,3
292,19.47,0,1,3
293,19.53,0,1,3
294,19.6,0,1,3
295,19.67,0,1,3
296,19.73,0,1,3
297,19.8,0,1,3
298,19.87,1,1,3
299,19.93,1,1,3
300,20.0,1,1,3
301,20.07,1,1,3
302,20.13,1,1,3
303,20.2,1,1,3
304,20.27,1,1,3
305,20.33,1,1,3
306,20.4,1,1,3
307,20.47,1,1,3
308,20.53,1,1,3
309,20.6,1,1,3
310,20.67,1,1,3
311,20.73,1,1,3
312,20.8,1,1,3
313,20.87,1,1,3
314,20.93,1,1,3
315,21.0,1,1,3
316,21.07,1,1,3
317,21.13,1,1,3
318,21.2,1,1,3
319,21.27,1,1,3
320,21.33,1,1,3
321,21.4,1,1,3
322,21.47,1,1,3
323,21.53,1,1,3
324,21.6,1,1,4
325,21.67,1,1,5
326,21.73,1,1,5
327,21.8,1,1,4
328,21.87,1,1,3
329,21.93,1,1,3
330,22.0,1,1,3
331,22.07,1,1,3
332,22.13,1,1,3
333,22.2,1,1,3
334,22.27,1,1,4
335,22.33,1,1,3
336,22.4,1,1,3
337,22.47,1,1,3
338,22.53,1,1,3
339,22.6,1,1,3
340,22.67,1,1,3
341,22.73,1,1,3
342,22.8,1,1,3
343,22.87,1,1,3
344,22.93,1,1,3
345,23.0,1,1,3
346,23.07,1,1,3
347,23.13,1,1,3
348,23.2,1,1,3
349,23.27,1,1,3
350,23.33,1,1,3
351,23.4,1,1,3
352,23.47,1,1,3
353,23.53,1,1,3
354,23.6,1,1,3
355,23.67,1,1,3
356,23.73,1,1,3
357,23.8,1,1,3
358,23.87,1,1,3
359,23.93,1,1,3
360,24.0,1,1,3
361,24.07,1,1,3
362,24.13,1,1,3
363,24.2,1,1,3
364,24.27,1,1,3
365,24.33,1,1,3
366,24.4,1,1,3
367,24.47,1,1,3
368,24.53,1,1,3
369,24.6,1,1,3
370,24.67,1,1,3
371,24.73,1,1,3
372,24.8,1,1,3
373,24.87,1,1,3
374,24.93,1,1,3
375,25.0,1,1,3
376,25.07,1,1,3
377,25.13,1,1,3
378,25.2,1,1,3
379,25.27,1,1,3
380,25.33,1,1,3
381,25.4,1,1,3
382,25.47,1,1,3
383,25.53,1,1,3
384,25.6,1,1,3
385,25.67,1,1,3
386,25.73,1,1,3
387,25.8,1,1,3
388,25.87,1,1,3
389,25.93,1,1,3
390,26.0,1,1,2
391,26.07,1,1,3
392,26.13,1,1,3
393,26.2,1,1,3
394,26.27,1,1,3
395,26.33,1,1,3
396,26.4,1,1,3
397,26.47,1,1,3
398,26.53,1,1,3
399,26.6,1,1,3
400,26.67,1,1,3
401,26.73,1,1,3
402,26.8,1,1,4
403,26.87,1,1,3
404,26.93,1,1,4
405,27.0,1,1,2
406,27.07,1,1,3
407,27.13,1,1,3
408,27.2,1,1,2
409,27.27,1,1,2
410,27.33,1,1,2
411,27.4,1,1,2
412,27.47,1,1,2
413,27.53,1,1,2
414,27.6,1,1,2
415,27.67,1,1,3
416,27.73,1,1,2
417,27.8,1,1,3
418,27.87,1,1,2
419,27.93,1,1,3
420,28.0,1,1,3
421,28.07,1,1,3
422,28.13,1,1,2
423,28.2,1,1,2
424,28.27,1,1,2
425,28.33,1,1,2
426,28.4,1,1,2
427,28.47,1,1,2
428,28.53,1,1,2
429,28.6,1,1,2
430,28.67,1,1,2
431,28.73,1,1,2
432,28.8,1,1,2
433,28.87,1,1,2
434,28.93,1,1,2
435,29.0,1,1,2
436,29.07,1,1,2
437,29.13,1,1,2
438,29.2,1,1,2
439,29.27,1,1,2
440,29.33,1,1,2
441,29.4,1,1,2
442,29.47,1,1,2
443,29.53,1,1,2
444,29.6,1,1,2
445,29.67,1,1,2
446,29.73,1,1,2
447,29.8,1,1,2
448,29.87,1,1,2
449,29.93,1,1,2
450,30.0,1,1,2
451,30.07,1,1,2
452,30.13,1,1,2
453,30.2,1,1,2
454,30.27,1,1,2
455,30.33,1,1,2
456,30.4,1,1,2
457,30.47,1,1,2
458,30.53,1,1,2
459,30.6,1,1,2
460,30.67,1,1,2
461,30.73,1,1,2
462,30.8,1,1,2
463,30.87,1,1,1
464,30.93,1,1,2
465,31.0,1,1,2
466,31.07,1,1,2
467,31.13,1,1,2
468,31.2,1,1,3
469,31.27,1,1,4
470,31.33,1,1,2
471,31.4,1,1,4
472,31.47,1,1,3
473,31.53,1,1,4
474,31.6,1,1,3
475,31.67,1,1,3
476,31.73,1,1,2
477,31.8,1,1,4
478,31.87,1,1,3
479,31.93,1,1,2
480,32.0,1,1,2
481,32.07,1,1,2
482,32.13,1,1,2
483,32.2,1,1,3
484,32.27,1,1,3
485,32.33,1,1,3
486,32.4,1,1,4
487,32.47,1,1,3
488,32.53,1,1,3
489,32.6,1,1,3
490,32.67,1,1,3
491,32.73,1,1,3
492,32.8,1,1,3
493,32.87,1,1,3
494,32.93,1,1,3
495,33.0,1,1,3
496,33.07,1,1,3
497,33.13,1,1,3
498,33.2,1,1,3
499,33.27,1,1,3
500,33.33,1,1,5
501,33.4,1,1,4
502,33.47,1,1,4
503,33.53,1,1,5
504,33.6,1,1,3
505,33.67,1,1,2
506,33.73,1,1,2
507,33.8,1,1,2
508,33.87,1,1,2
509,33.93,1,1,2
